,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-07-07 05:56:59.999,1657166040000,1176.65,1176.67,1174.37,1174.75,629.9776,1657166219999,740366.552072,674,320.6661,376842.383053,
2022-07-07 05:59:59.999,1657166220000,1174.74,1176.5,1174.59,1176.17,432.802,1657166399999,508745.696543,714,216.446,254404.566494,
2022-07-07 06:02:59.999,1657166400000,1176.16,1176.17,1175.06,1176.17,799.9203,1657166579999,940356.779315,866,444.3025,522279.912347,
2022-07-07 06:05:59.999,1657166580000,1176.16,1177.33,1174.11,1174.56,1309.0197,1657166759999,1538559.874674,1341,519.9742,611089.054064,
2022-07-07 06:08:59.999,1657166760000,1174.56,1176.18,1170.2,1170.51,2771.5841,1657166939999,3251949.856361,2075,1200.1393,1407983.768877,
2022-07-07 06:11:59.999,1657166940000,1170.51,1172.97,1169.82,1170.46,2180.4725,1657167119999,2553816.23525,1627,944.2222,1105684.551578,
2022-07-07 06:14:59.999,1657167120000,1170.46,1171.51,1169.44,1171.15,872.7238,1657167299999,1021349.798665,933,485.7143,568367.33399,
2022-07-07 06:17:59.999,1657167300000,1171.16,1171.92,1168.19,1170.43,1905.891,1657167479999,2230277.223268,1730,651.6591,762473.016403,
2022-07-07 06:20:59.999,1657167480000,1170.42,1171.82,1169.76,1170.4,547.0338,1657167659999,640466.165824,647,210.7974,246744.284497,
2022-07-07 06:23:59.999,1657167660000,1170.4,1170.6,1168.76,1169.14,1002.8033,1657167839999,1172851.123016,1039,545.4838,637886.138656,
2022-07-07 06:26:59.999,1657167840000,1169.15,1169.7,1168.23,1169.23,866.4974,1657168019999,1012995.088143,1066,355.7924,415944.139043,
2022-07-07 06:29:59.999,1657168020000,1169.22,1169.96,1168.0,1168.29,620.6914,1657168199999,725300.897562,857,235.9104,275662.465105,
2022-07-07 06:32:59.999,1657168200000,1168.28,1169.21,1165.75,1166.37,3399.4383,1657168379999,3967184.900405,2267,1196.6501,1396222.046039,
2022-07-07 06:35:59.999,1657168380000,1166.37,1169.45,1166.36,1167.67,1706.5013,1657168559999,1993063.263575,1087,1206.5782,1409180.94024,
2022-07-07 06:38:59.999,1657168560000,1167.68,1169.95,1167.67,1169.06,881.4959,1657168739999,1030565.980911,1130,451.2979,527527.724645,
2022-07-07 06:41:59.999,1657168740000,1169.06,1170.77,1168.96,1169.55,849.3854,1657168919999,993675.351117,902,271.6817,317792.157769,
2022-07-07 06:44:59.999,1657168920000,1169.55,1170.4,1169.16,1170.37,277.9212,1657169099999,325088.953768,531,177.1279,207181.568248,
2022-07-07 06:47:59.999,1657169100000,1170.36,1171.48,1168.53,1171.48,671.4993,1657169279999,785724.031122,843,364.8882,426988.525247,
2022-07-07 06:50:59.999,1657169280000,1171.48,1172.87,1171.47,1171.75,1203.8091,1657169459999,1410926.866661,1346,651.4361,763467.290024,
2022-07-07 06:53:59.999,1657169460000,1171.75,1172.3,1170.38,1171.8,605.4022,1657169639999,709296.52964,824,280.765,328925.517608,
2022-07-07 06:56:59.999,1657169640000,1171.8,1171.9,1170.61,1171.32,514.8817,1657169819999,603183.071087,678,242.2886,283817.19032,
2022-07-07 06:59:59.999,1657169820000,1171.33,1172.19,1170.96,1171.69,957.0942,1657169999999,1121096.612722,628,258.7854,303168.164806,
2022-07-07 07:02:59.999,1657170000000,1171.69,1172.1,1170.76,1171.21,587.6594,1657170179999,688393.419917,758,265.8568,311431.555349,
2022-07-07 07:05:59.999,1657170180000,1171.21,1172.55,1170.84,1172.15,882.1411,1657170359999,1033863.453284,745,446.1756,522812.954126,
2022-07-07 07:08:59.999,1657170360000,1172.15,1172.68,1171.41,1172.12,896.2831,1657170539999,1050611.826446,922,397.6941,466179.377653,
2022-07-07 07:11:59.999,1657170540000,1172.12,1173.06,1172.08,1172.64,992.244,1657170719999,1163585.372196,1925,593.7085,696208.215242,
